app_name,recommended,count,porcentaje
ULTRAKILL,True,5558,0.9953438395415473
Senren＊Banka,True,5004,0.9940405244338498
A Short Hike,True,5797,0.9914486061227981
The Henry Stickmin Collection,True,19211,0.9902577319587629
Factorio,True,107111,0.9891856448901941
Hades,True,117085,0.9887599648696123
Portal 2,True,229470,0.9876941750706971
People Playground,True,25995,0.9876895018807705
Townscaper,True,7503,0.9871069596105776
Half-Life: Alyx,True,50428,0.9868686275660972
Don't Escape: 4 Days to Survive,True,998,0.9851924975320829
There Is No Game: Wrong Dimension,True,8281,0.9847782138185278
Grimm's Hollow,True,5262,0.9844714686623012
RimWorld,True,92443,0.9830074116608714
Baba Is You,True,11555,0.9824009522190104
DUSK,True,10850,0.9819004524886877
One Finger Death Punch,True,15220,0.9816821465428277
Wallpaper Engine,True,287425,0.9816762867584276
Nova Drift,True,3474,0.9816332297259113
The Binding of Isaac: Rebirth,True,122069,0.981348833096174
Helltaker,True,84683,0.9811948184367252
A Hat in Time,True,34318,0.9811029474827754
OneShot,True,18615,0.9810276679841897
The Witcher 3: Wild Hunt,True,460252,0.980521735425388
Just Shapes & Beats,True,9075,0.9804451166810717
Keep Talking and Nobody Explodes,True,8638,0.9801429706115965
Totally Accurate Battle Simulator,True,51082,0.9801032253113068
Terraria,True,658741,0.9790819170202805
Slay the Spire,True,84207,0.9788893667972519
Stardew Valley,True,308852,0.9782558430493131
The Room Two,True,11088,0.9781227946365562
Finding Paradise,True,10199,0.9779461118036246
VA-11 Hall-A: Cyberpunk Bartender Action,True,23168,0.9778002869924876
Celeste,True,30751,0.9776499014433776
STEINS;GATE,True,9402,0.9772372934206424
Phoenix Wright: Ace Attorney Trilogy,True,9146,0.9771367521367521
The Wolf Among Us,True,24357,0.9769764550158437
Mount & Blade: Warband,True,121050,0.9769581534239942
The Room,True,15448,0.9764854614412136
Phasmophobia,True,213724,0.9755077821899676
South Park™: The Stick of Truth™,True,43747,0.9754286606167362
Euro Truck Simulator 2,True,377866,0.9750047090333451
Slime Rancher,True,56589,0.9748488346052473
Gunpoint,True,11304,0.9736434108527132
Hotline Miami,True,58490,0.9736325198921331
Mirror,True,58581,0.9731871417891852
Dishonored,True,54825,0.9731615101975611
BattleBlock Theater,True,57704,0.9728071210614158
Persona 4 Golden,True,39080,0.9726231956197113
Resident Evil 2,True,80352,0.9721960072595281
Broforce,True,39799,0.9712521658491349
STAR WARS™ Empire at War: Gold Pack,True,19962,0.9712450737118669
Danganronpa 2: Goodbye Despair,True,13228,0.9710762002642783
Satisfactory,True,41208,0.9707649179014818
Mark of the Ninja,True,15036,0.9700019353590091
Danganronpa: Trigger Happy Havoc,True,16180,0.96950086883576
Super Hexagon,True,21532,0.9692113791861722
Deep Rock Galactic,True,69822,0.9689559943934831
The Walking Dead,True,51088,0.9683643876641962
Doki Doki Literature Club,True,144123,0.9683277679609237
Hollow Knight,True,261280,0.9682272636314452
Don't Starve,True,82379,0.9681623730725837
Dead Cells,True,62664,0.9674550731797691
GRIS,True,36779,0.9666473927670312
"Papers, Please",True,38549,0.9665764003811244
Half-Life 2: Episode Two,True,22704,0.9661276595744681
Bloons TD 6,True,57700,0.965528781793842
Shovel Knight: Treasure Trove,True,12579,0.9653875671527244
Ravenfield,True,30640,0.9651609651609652
Half-Life,True,55312,0.9649685973482205
Garry's Mod,True,632558,0.9649654322343652
To the Moon,True,50890,0.964958853198832
STEINS;GATE 0,True,3089,0.9647095565271705
Oxygen Not Included,True,57789,0.964435914552737
Duck Game,True,26938,0.9639649311146896
Undertale,True,139116,0.9637342311449176
HuniePop,True,23771,0.9637152355469066
Don't Starve Together,True,229881,0.9633123250473524
Cuphead,True,66159,0.9631392758876709
Tomb Raider,True,174333,0.9628784782440598
Streets of Rogue,True,12237,0.9627094642435685
Detention,True,8858,0.9625122242746931
Tabletop Simulator,True,36340,0.9622411693057247
Batman: Arkham Asylum GOTY Edition,True,29875,0.9617861052089369
Sid Meier's Civilization V,True,164797,0.961453641688642
FTL: Faster Than Light,True,55237,0.9612118470051857
Beat Saber,True,44253,0.9611232977868515
Outlast,True,62969,0.9609919877909195
Enter the Gungeon,True,53198,0.9609812493225911
Divinity: Original Sin 2,True,109059,0.9608045247912042
Ori and the Will of the Wisps,True,50490,0.9607261102865624
Castle Crashers,True,71966,0.9606225639382775
Counter-Strike: Source,True,113430,0.9606117834367934
Saints Row: The Third,True,56947,0.9602394401821094
BeamNG.drive,True,57643,0.9591819755058573
American Truck Simulator,True,68206,0.9587573798144504
Subnautica,True,146075,0.9584093324760192
Black Mesa,True,54522,0.9582915897706301
The Binding of Isaac,True,46706,0.9563454686924117
Age of Empires II (2013),True,82621,0.9550125414677563
Among Us,True,463287,0.9546541985975483
BioShock Infinite,True,102220,0.9528603521724135
The Legend of Heroes: Trails of Cold Steel II,True,1619,0.951793062904174
SENRAN KAGURA ESTIVAL VERSUS,True,3907,0.9517661388550548
DOOM,True,132997,0.9501618169218349
Dying Light,True,203547,0.9492424136435497
Super Meat Boy,True,26744,0.9486379114642451
The Elder Scrolls V: Skyrim,True,279455,0.9474142782557989
Sekiro™: Shadows Die Twice,True,113339,0.9463844355377421
The Forest,True,226711,0.945677292332335
Kenshi,True,37663,0.9430839342948718
Human: Fall Flat,True,116523,0.9427122099608427
Into the Breach,True,10590,0.9416681486750845
Cave Story+,True,5845,0.9415270618556701
PC Building Simulator,True,27882,0.9412280997873275
Night in the Woods,True,10171,0.9410621761658031
Crusader Kings III,True,42458,0.9403556953334367
Momodora: Reverie Under the Moonlight,True,7727,0.9402531029447554
DEATH STRANDING,True,44893,0.9395575647223792
Pit People,True,6392,0.9391713194240376
Farm Together,True,11559,0.9384590403507348
Rise of the Tomb Raider,True,85475,0.9381928742344082
Thimbleweed Park,True,2626,0.9378571428571428
DARK SOULS™ III,True,220614,0.9371001860488825
Yakuza 0,True,29774,0.9370259638080252
FAR: Lone Sails,True,7494,0.9361648969394128
Resident Evil 7 Biohazard,True,33798,0.9351447069890986
Total War: WARHAMMER II,True,79700,0.9348425312298398
Axiom Verge,True,3738,0.9310087173100872
Tales of Berseria,True,11071,0.9300235215053764
Crash Bandicoot™ N. Sane Trilogy,True,9584,0.9293125181809366
My Time At Portia,True,27466,0.9292553371451772
The End Is Nigh,True,1875,0.9291377601585729
Monster Prom,True,7440,0.928607089365951
Cities: Skylines,True,136499,0.928387790080801
20XX,True,3349,0.9277008310249307
Farming Simulator 19,True,35591,0.9261495224960317
Ghost of a Tale,True,3049,0.9231002119285499
Guacamelee! Super Turbo Championship Edition,True,4909,0.9230913877397517
Little Nightmares,True,19335,0.9215041464112096
Raft,True,90017,0.9191973858878791
"Warhammer 40,000: Mechanicus",True,6612,0.9174413764395727
Hearts of Iron IV,True,106448,0.9156423379639586
Salt and Sanctuary,True,11313,0.9151431807150946
Avorion,True,7417,0.9147755303404045
House Flipper,True,32939,0.9126399202039233
Dungreed,True,4833,0.9098268072289156
X-Plane 11,True,9090,0.909
Two Point Hospital,True,20101,0.9088894917706638
Frostpunk,True,54317,0.9087973497523758
Mutant Year Zero: Road to Eden,True,14701,0.9070212240868707
Planet Coaster,True,39464,0.9043701446020579
Arma 3,True,164851,0.9040461096365192
HITMAN™ 2,True,43707,0.9035599106921359
Darkest Dungeon®,True,78012,0.9030839044267457
Rocket League,True,449464,0.9015153490517787
Banished,True,31247,0.9011391492429704
Overcooked! 2,True,23433,0.9007495675571785
Devil May Cry HD Collection,True,2697,0.8992997665888629
Ultimate Marvel vs. Capcom 3,True,2517,0.8976462196861626
Dragon Cliff 龙崖,True,4130,0.8976309497935231
DOOM Eternal,True,94222,0.8956804441233507
Sniper Elite 4,True,25276,0.8946623247911653
A Way Out,True,9766,0.8926057947171191
Trailmakers,True,5373,0.8916362429472287
DRAGON BALL FighterZ,True,30864,0.8912760980680933
FINAL FANTASY XII THE ZODIAC AGE,True,3746,0.8904207273591633
For The King,True,15221,0.8891809790863419
Bomber Crew,True,6832,0.8885420730914293
The Elder Scrolls V: Skyrim Special Edition,True,126559,0.8880772442442232
Heroes of Hammerwatch,True,4622,0.8876512387171116
Assassin's Creed Odyssey,True,82033,0.8843002824310631
Kingdom Two Crowns,True,5922,0.8826948874645998
Iconoclasts,True,2471,0.8825
Tom Clancy's Rainbow Six Siege,True,742397,0.8817925261129944
Golf It!,True,10145,0.8810247503256622
PAYDAY 2,True,428136,0.8777829489468926
Northgard,True,28681,0.8762105520422815
FINAL FANTASY XIV Online,True,26233,0.8761564410006346
Europa Universalis IV,True,74790,0.8749722147478269
Cyberdimension Neptunia: 4 Goddesses Online,True,3665,0.8726190476190476
Pillars of Eternity II: Deadfire,True,10118,0.8708150443239522
Void Bastards,True,3111,0.8706968933669186
Slipstream,True,957,0.8676337262012692
Stellaris,True,81866,0.8647786451456156
Football Manager 2019,True,10262,0.861918360490509
NieR:Automata™,True,69684,0.8591295771174947
Assassin's Creed Origins,True,53493,0.8587183356342505
Foundation,True,6061,0.8584985835694051
DARK SOULS™: REMASTERED,True,31393,0.8576619402781193
Cold Waters,True,2325,0.8566691230655858
Due Process,True,2657,0.8559922680412371
XCOM 2,True,52732,0.8555389707313907
Middle-earth™: Shadow of War™,True,46362,0.8554505867591704
theHunter: Call of the Wild™,True,57452,0.8544318857822725
Rust,True,468892,0.8539686818170228
The Sims(TM) 3,True,19471,0.853541995440996
Thief Simulator,True,8204,0.852275088302514
Total War: THREE KINGDOMS,True,56996,0.8509151712400347
They Are Billions,True,27049,0.8494755354563156
Out of the Park Baseball 19,True,594,0.8485714285714285
CHRONO TRIGGER,True,3226,0.8485007890583903
Fairy Fencer F Advent Dark Force,True,1782,0.8481675392670157
Ni no Kuni™ II: Revenant Kingdom,True,6449,0.8475489551846498
Pogostuck: Rage With Your Friends,True,1972,0.8456260720411664
Monster Hunter: World,True,245396,0.8434417383294495
Jurassic World Evolution,True,32054,0.8414006719865603
Totally Accurate Battlegrounds,True,28986,0.8410271289714203
Total War: ROME II - Emperor Edition,True,48041,0.8406271325832473
Shadow Complex Remastered,True,587,0.8385714285714285
Borderlands 3,True,56159,0.8371943947525343
Puyo Puyo™Tetris®,True,3760,0.8361129641983545
Surviving Mars,True,11435,0.8338194545719703
Insurgency: Sandstorm,True,53881,0.8335808657446084
Blackwake,True,17619,0.8331678252234359
MORDHAU,True,68359,0.8303351269935744
Day of Infamy,True,17321,0.8284388750717429
Sid Meier's Civilization VI,True,119046,0.8279214682625236
Dead by Daylight,True,345582,0.8249808425460197
Getting Over It with Bennett Foddy,True,26314,0.8230841413825462
Watch_Dogs 2,True,39241,0.8219387541368187
Railway Empire,True,5175,0.8211678832116789
Styx: Shards of Darkness,True,2624,0.818976279650437
Grand Theft Auto V,True,831311,0.8157177396881219
GOD EATER 3,True,4179,0.8149375975039002
Age of Empires: Definitive Edition,True,4853,0.8138520878752306
Eco,True,4815,0.8136194660358229
Kingdom Come: Deliverance,True,59270,0.8125411274402281
Hunt: Showdown,True,64372,0.8112924569916189
BATTLETECH,True,17694,0.8111676523174254
Volgarr the Viking,True,1781,0.8088101725703906
The Elder Scrolls Online,True,74344,0.8087638567061562
SOULCALIBUR VI,True,6632,0.8076969918402144
FINAL FANTASY XV WINDOWS EDITION,True,26536,0.8074488802336903
Warhammer: Vermintide 2,True,49940,0.8069546108229515
Nioh: Complete Edition,True,19851,0.8062302006335798
We Were Here Too,True,3050,0.800735101076398
Titan Souls,True,4567,0.7992649632481624
Toukiden 2,True,957,0.7975
Just Cause 3,True,65257,0.7941899522928634
Ancestors Legacy,True,4277,0.7915972607810475
SimAirport,True,2218,0.7912950410274706
Sword Art Online: Fatal Bullet,True,11545,0.7901040240897892
Staxel,True,2765,0.79
BERSERK and the Band of the Hawk,True,1264,0.7895065584009994
ARK: Survival Evolved,True,315243,0.7880897679802205
Budget Cuts,True,1020,0.785824345146379
The Crew 2,True,29624,0.7848664688427299
Pathfinder: Kingmaker,True,15982,0.7839693907583636
Freeman: Guerrilla Warfare,True,7758,0.7833198707592892
Fallout 4,True,179212,0.7827321287403312
SENRAN KAGURA Peach Beach Splash,True,2418,0.78
Rise of Industry,True,2413,0.7778852353320438
Conan Exiles,True,48344,0.7778475004424708
Total War: WARHAMMER,True,35877,0.7764744075316524
Far Cry 5,True,66555,0.7761968627908333
Train Sim World® 2020,True,5034,0.7739852398523985
Fishing: Barents Sea,True,1391,0.7719200887902331
Tom Clancy's Ghost Recon® Wildlands,True,39602,0.7695685969685192
Youtubers Life,True,9566,0.7579431106885349
DiRT 4,True,8343,0.7570780399274047
Darksiders III,True,7551,0.7544964028776978
Black Desert Online,True,27861,0.7536518069681887
Vampyr,True,10029,0.7533804086538461
Steel Division: Normandy 44,True,3814,0.733320515285522
The Wild Eight,True,4052,0.7234422424567042
SCUM,True,31785,0.7077015563422617
WWE 2K19,True,2054,0.7065703474372205
DRAGON QUEST HEROES™ II,True,423,0.705
Desolate,True,3878,0.7047065237143376
PixARK,True,5370,0.6964077292180002
Torment: Tides of Numenera,True,2505,0.69564009997223
Farm Manager 2018,True,1392,0.6953046953046953
No Man's Sky,True,125508,0.6894339311708644
Secret of Mana,True,1308,0.6884210526315789
Total War Saga: Thrones of Britannia,True,6641,0.6635028474373065
For Honor,True,61762,0.6572453203647934
METAL GEAR SURVIVE,True,2668,0.6500974658869396
Clicker Heroes 2,True,1359,0.6471428571428571
Call of Duty: WWII,True,17195,0.622623746243256
Rules Of Survival,True,3022,0.616483068135455
BATTALION 1944,True,9862,0.6162209447638091
WWE 2K17,True,922,0.6150767178118746
X-Blades,True,1720,0.6131907308377896
Battle Royale Trainer,True,935,0.584375
三国群英传8 Heroes of the Three Kingdoms 8,True,4677,0.5766243373196893
Just Cause 4,True,10431,0.5759483187013418
PLAYERUNKNOWN'S BATTLEGROUNDS,True,886417,0.5390994705809014
Dead Rising 4,True,2245,0.5211234911792015
Stay Out,True,3495,0.4874476987447699
Call of Duty: Infinite Warfare,True,9974,0.4809992283950617
Artifact,True,11283,0.4799438512909949
"Warhammer 40,000: Dawn of War III",True,8570,0.46487659343639814
ATLAS,True,17290,0.46466003762429453
Wolfenstein: Youngblood,True,3389,0.4552048354600403
Neon Hardcorps,True,89,0.445
X Rebirth,True,2970,0.42422511069847163
Rapture Rejects,True,672,0.4192139737991266
Nether,True,7187,0.41290359646099045
Takedown: Red Sabre,True,2214,0.40239912758996726
WWE 2K20,True,1438,0.3952721275426058
NBA 2K19,True,8851,0.3944823282970094
Cube World,True,6337,0.38798750994918263
Bless Online,True,3871,0.3796214572913602
Hunt Down The Freeman,True,689,0.37961432506887055
Down To One,True,797,0.3793431699190862
NBA 2K21,True,5518,0.35068319034000633
Deus Ex: The Fall,True,1243,0.3443213296398892
Urban Empire,True,759,0.33
DYNASTY WARRIORS 9,True,2438,0.31228384782887153
NBA 2K18,True,5465,0.2919649535206753
Umbrella Corps,True,707,0.2822355289421158
SOS,True,1921,0.27840579710144925
RollerCoaster Tycoon World,True,1300,0.24509803921568626
Identity,True,439,0.2433481152993348
